Date,ICU
2020-03-06,1
2020-03-07,0
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,0
2020-03-12,0
2020-03-13,2
2020-03-14,3
2020-03-15,5
2020-03-16,3
2020-03-17,1
2020-03-18,8
2020-03-19,5
2020-03-20,11
2020-03-21,4
2020-03-22,13
2020-03-23,23
2020-03-24,16
2020-03-25,18
2020-03-26,17
2020-03-27,17
2020-03-28,16
2020-03-29,13
2020-03-30,25
2020-03-31,18
2020-04-01,27
2020-04-02,24
2020-04-03,23
2020-04-04,19
2020-04-05,17
2020-04-06,27
2020-04-07,23
2020-04-08,21
2020-04-09,14
2020-04-10,15
2020-04-11,27
2020-04-12,15
2020-04-13,22
2020-04-14,24
2020-04-15,21
2020-04-16,23
2020-04-17,20
2020-04-18,12
2020-04-19,23
2020-04-20,9
2020-04-21,21
2020-04-22,26
2020-04-23,16
2020-04-24,22
2020-04-25,10
2020-04-26,11
2020-04-27,8
2020-04-28,18
2020-04-29,10
2020-04-30,15
2020-05-01,10
2020-05-02,17
2020-05-03,15
2020-05-04,12
2020-05-05,10
2020-05-06,10
2020-05-07,10
2020-05-08,16
2020-05-09,10
2020-05-10,11
2020-05-11,6
2020-05-12,12
2020-05-13,17
2020-05-14,8
2020-05-15,13
2020-05-16,9
2020-05-17,6
2020-05-18,12
2020-05-19,8
2020-05-20,7
2020-05-21,7
2020-05-22,8
2020-05-23,6
2020-05-24,6
2020-05-25,9
2020-05-26,10
2020-05-27,10
2020-05-28,6
2020-05-29,11
2020-05-30,9
2020-05-31,7
2020-06-01,9
2020-06-02,7
2020-06-03,5
2020-06-04,5
2020-06-05,5
2020-06-06,4
2020-06-07,3
2020-06-08,7
2020-06-09,7
2020-06-10,4
2020-06-11,4
2020-06-12,6
2020-06-13,10
2020-06-14,0
2020-06-15,3
2020-06-16,5
2020-06-17,8
2020-06-18,7
2020-06-19,1
2020-06-20,1
2020-06-21,5
2020-06-22,5
2020-06-23,1
2020-06-24,3
2020-06-25,2
2020-06-26,3
2020-06-27,4
2020-06-28,3
2020-06-29,2
2020-06-30,3
2020-07-01,2
2020-07-02,1
2020-07-03,2
2020-07-04,1
2020-07-05,2
2020-07-06,2
2020-07-07,0
2020-07-08,1
2020-07-09,1
2020-07-10,0
2020-07-11,1
2020-07-12,0
2020-07-13,2
2020-07-14,1
2020-07-15,0
2020-07-16,4
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,1
2020-07-21,0
2020-07-22,0
2020-07-23,2
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,2
2020-07-28,0
2020-07-29,1
2020-07-30,0
2020-07-31,1
2020-08-01,1
2020-08-02,1
2020-08-03,0
2020-08-04,1
2020-08-05,2
2020-08-06,0
2020-08-07,1
2020-08-08,2
2020-08-09,1
2020-08-10,0
2020-08-11,1
2020-08-12,2
2020-08-13,3
2020-08-14,2
2020-08-15,1
2020-08-16,0
2020-08-17,1
2020-08-18,1
2020-08-19,1
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,3
2020-08-25,1
2020-08-26,0
2020-08-27,1
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,1
2020-09-02,1
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,0
2020-09-12,3
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,1
2020-09-23,1
2020-09-24,2
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,1
2020-10-01,1
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,2
2020-10-06,1
2020-10-07,1
2020-10-08,0
2020-10-09,0
2020-10-10,2
2020-10-11,0
2020-10-12,1
2020-10-13,1
2020-10-14,1
2020-10-15,1
2020-10-16,1
2020-10-17,2
2020-10-18,1
2020-10-19,0
2020-10-20,1
2020-10-21,1
2020-10-22,6
2020-10-23,2
2020-10-24,1
2020-10-25,2
2020-10-26,2
2020-10-27,3
2020-10-28,4
2020-10-29,2
2020-10-30,3
2020-10-31,0
2020-11-01,2
2020-11-02,9
2020-11-03,3
2020-11-04,4
2020-11-05,4
2020-11-06,6
2020-11-07,6
2020-11-08,6
2020-11-09,10
2020-11-10,6
2020-11-11,4
2020-11-12,7
2020-11-13,11
2020-11-14,9
2020-11-15,7
2020-11-16,4
2020-11-17,12
2020-11-18,6
2020-11-19,9
2020-11-20,12
2020-11-21,10
2020-11-22,10
2020-11-23,15
2020-11-24,16
2020-11-25,8
2020-11-26,11
2020-11-27,6
2020-11-28,9
2020-11-29,10
2020-11-30,7
2020-12-01,4
2020-12-02,13
2020-12-03,11
2020-12-04,11
2020-12-05,8
2020-12-06,10
2020-12-07,11
2020-12-08,8
2020-12-09,8
2020-12-10,14
2020-12-11,6
2020-12-12,9
2020-12-13,12
2020-12-14,4
2020-12-15,11
2020-12-16,4
2020-12-17,7
2020-12-18,10
2020-12-19,11
2020-12-20,9
2020-12-21,10
2020-12-22,16
2020-12-23,10
2020-12-24,5
2020-12-25,6
2020-12-26,12
2020-12-27,10
2020-12-28,13
2020-12-29,9
2020-12-30,11
2020-12-31,4
2021-01-01,7
2021-01-02,4
2021-01-03,7
2021-01-04,6
2021-01-05,11
2021-01-06,8
2021-01-07,6
2021-01-08,8
2021-01-09,7
2021-01-10,6
2021-01-11,9
2021-01-12,7
2021-01-13,8
2021-01-14,7
2021-01-15,0
2021-01-16,5
2021-01-17,5
2021-01-18,10
2021-01-19,5
2021-01-20,3
2021-01-21,5
2021-01-22,5
2021-01-23,3
2021-01-24,4
2021-01-25,4
2021-01-26,7
2021-01-27,10
2021-01-28,4
2021-01-29,2
2021-01-30,2
2021-01-31,2
2021-02-01,8
2021-02-02,5
2021-02-03,2
2021-02-04,2
2021-02-05,10
2021-02-06,3
2021-02-07,2
2021-02-08,5
2021-02-09,3
2021-02-10,6
2021-02-11,5
2021-02-12,2
2021-02-13,2
2021-02-14,1
2021-02-15,3
2021-02-16,4
2021-02-17,1
2021-02-18,0
2021-02-19,7
2021-02-20,3
2021-02-21,4
2021-02-22,8
2021-02-23,7
2021-02-24,6
2021-02-25,3
2021-02-26,5
2021-02-27,7
2021-02-28,4
2021-03-01,8
2021-03-02,11
2021-03-03,6
2021-03-04,8
2021-03-05,7
2021-03-06,3
2021-03-07,7
2021-03-08,7
2021-03-09,7
2021-03-10,4
2021-03-11,8
2021-03-12,5
2021-03-13,5
2021-03-14,12
2021-03-15,10
2021-03-16,13
2021-03-17,9
2021-03-18,2
